timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1789741198791,-9.600749,-0.59615624,2.3582888,4.365588,0.16773814,-0.5555743
1789741203154,-9.576807,-0.6679823,2.4133554,4.365588,0.180794784,-0.5473139
1789741204026,-9.481039,-0.7110779,2.4516626,4.365588,0.17573202,-0.5659663
1789741207666,-9.548077,-0.7517793,2.3439236,4.365588,0.1573461,-0.6147289
1789741209032,-9.433155,-0.641646,2.3750482,4.365588,0.16613935,-0.5662328
1789741210362,-9.528923,-0.6464345,2.2840684,4.365588,0.1842588,-0.58355284
1789741211379,-9.445126,-0.7565677,2.4109612,4.365588,0.15548084,-0.5573063
1789741213221,-9.481039,-0.7589619,2.4301148,4.365588,0.185058192,-0.55384224
1789741214453,-9.481039,-0.6607997,2.3295584,4.365588,0.17586524,-0.580222
1789741216094,-9.56723,-0.7062895,2.255338,4.365588,0.20091272,-0.5910138
1789741217620,-9.560047,-0.60812724,2.3750482,4.365588,0.18012864,-0.55810564
1789741219274,-9.437943,-0.6536171,2.4372974,4.365588,0.17373354,-0.60673508
1789741220795,-9.552865,-0.7445967,2.4708162,4.365588,0.15947778,-0.601539
1789741222345,-9.325416,-0.7326257,2.4396916,4.365588,0.19398468,-0.558905
1789741223423,-9.509769,-0.6991069,2.4420858,4.365588,0.17666462,-0.56663244
1789741224489,-9.646238,-0.7086837,2.4516626,4.365588,0.19251914,-0.5459816
1789741225816,-9.730036,-0.79487496,2.4827872,4.365588,0.15334916,-0.5679648
1789741226647,-9.502586,-0.8595184,2.2960394,4.365588,0.1718683,-0.6273859
1789741227975,-9.507375,-0.6440403,2.3870192,4.365588,0.1743997,-0.57595868
1789741228901,-9.464279,-0.802057536,2.15957,4.365588,0.186923432,-0.6169939
1789741229923,-9.526528,-0.6991069,2.4372974,4.365588,0.17040276,-0.5918132
1789741231141,-9.49301,-0.7038953,2.3822308,4.365588,0.2034441,-0.60100616
1789741232986,-9.603143,-0.7541735,2.5330652,4.365588,0.1484196,-0.5618361
1789741234224,-9.416395,-0.7302315,2.3702598,4.365588,0.16267535,-0.56516696
1789741236060,-9.490616,-0.6775591,2.2768858,4.365588,0.17573202,-0.58581776
1789741237082,-9.533711,-0.60094464,2.4779988,4.365588,0.15667994,-0.60913324
1789741237767,-9.428367,-0.7422025,2.3319526,4.365588,0.18932159,-0.55184376
1789741238480,-9.548077,-0.6847417,2.372654,4.365588,0.17373354,-0.6149954
1789741239333,-9.514558,-0.6655881,2.468422,4.365588,0.1736003,-0.5724946
1789741240569,-9.648633,-0.6560113,2.3558946,4.365588,0.21423582,-0.56423424
1789741241394,-9.481039,-0.6871359,2.4899698,4.365588,0.18066156,-0.5767581
1789741242410,-9.531317,-0.5626374,2.4660278,4.365588,0.16467382,-0.6036708
1789741243132,-9.469068,-0.6751649,2.432509,4.365588,0.18798928,-0.54824656
1789741244133,-9.516952,-0.63206924,2.291251,4.365588,0.19744868,-0.5972757
1789741245890,-9.540894,-0.62728084,2.4301148,4.365588,0.179862168,-0.6064686
1789741246921,-9.454702,-0.5793968,2.3343468,4.365588,0.21037214,-0.59594332
1789741247934,-9.490616,-0.6488287,2.4253264,4.365588,0.17200152,-0.60540276
1789741249230,-9.742006,-0.9504981,2.480393,4.365588,0.15121746,-0.61925876
1789741249981,-9.526528,-0.7374141,2.4013844,4.365588,0.15041808,-0.5958101
1789741250823,-9.502586,-0.63206924,2.480393,4.365588,0.17160184,-0.6026049
1789741252034,-9.579201,-0.7230489,2.4756046,4.365588,0.13949311,-0.55197704
1789741253054,-9.555259,-0.6703765,2.5953148,4.365588,0.15894488,-0.5900812
1789741254285,-9.7563716,-0.7541735,2.566584,4.365588,0.18359264,-0.5507779
1789741255306,-9.478644,-0.7086837,2.44448,4.365588,0.1732006,-0.6181929
1789741256137,-9.524135,-0.6943185,2.4349032,4.365588,0.16307504,-0.60780096
1789741257360,-9.504981,-0.7254431,2.4372974,4.365588,0.16653904,-0.58368608
1789741258394,-9.514558,-0.6655881,2.4708162,4.365588,0.13922664,-0.57715776
1789741259404,-9.560047,-0.6895301,2.3582888,4.365588,0.17053598,-0.56983
1789741260631,-9.483433,-0.7733272,2.3223756,4.365588,0.1530827,-0.58608424
1789741261467,-9.526528,-0.62967504,2.5354596,4.365588,0.15388207,-0.60073968
1789741262700,-9.533711,-0.7685388,2.4971524,4.365588,0.1654732,-0.5843522
1789741264437,-9.619903,-0.6895301,2.408567,4.365588,0.14482234,-0.5526432
1789741265242,-9.524135,-0.6751649,2.4612394,4.365588,0.173467068,-0.5988744
1789741267094,-9.488221,-0.6703765,2.396596,4.365588,0.1684043,-0.58555124
1789741268520,-9.507375,-0.7134721,2.396596,4.365588,0.169203668,-0.61952524
1789741270168,-9.624691,-0.6991069,2.4779988,4.365588,0.20024656,-0.5919464
1789741272008,-9.512163,-0.6392518,2.3343468,4.365588,0.20144562,-0.5668989
1789741272818,-9.507375,-0.7134721,2.4660278,4.365588,0.16187595,-0.61752676
1789741273841,-9.540894,-0.641646,2.3774424,4.365588,0.17946248,-0.61752676
1789741275283,-9.5385,-0.59855044,2.5905264,4.365588,0.15494794,-0.610732
1789741276093,-9.516952,-0.7302315,2.4013844,4.365588,0.173067384,-0.6105988
1789741280397,-9.607931,-0.6440403,2.6431988,4.365588,0.15468148,-0.59780852
1789741281211,-9.497798,-0.792480736,2.2720974,4.365588,0.18958806,-0.6149954
1789741282250,-9.454702,-0.7086837,2.4708162,4.365588,0.172267984,-0.61486216
1789741283284,-9.583989,-0.89543144,2.4349032,4.365588,0.14868606,-0.57475952
1789741284307,-9.576807,-0.61770404,2.552219,4.365588,0.15361562,-0.607268
1789741285533,-9.562442,-0.6727707,2.2529438,4.365588,0.1910536,-0.5738269
1789741286350,-9.543288,-0.7230489,2.4109612,4.365588,0.172534452,-0.5783568
1789741287362,-9.49301,-0.7062895,2.516306,4.365588,0.15721286,-0.6163277
1789741288793,-9.514558,-0.7110779,2.4995466,4.365588,0.16560642,-0.5998071
1789741289831,-9.524135,-0.6560113,2.5570072,4.365588,0.15188362,-0.60273816
1789741291252,-9.526528,-0.7254431,2.456451,4.365588,0.17733078,-0.56849768
1789741292076,-9.502586,-0.770933,2.2505496,4.365588,0.178929552,-0.6248545
1789741293916,-9.603143,-0.7038953,2.4037786,4.365588,0.18532466,-0.5618361
1789741295151,-9.507375,-0.60094464,2.4181438,4.365588,0.168271052,-0.5907473
1789741296471,-9.504981,-0.7254431,2.4037786,4.365588,0.18732312,-0.56530016
1789741297199,-9.502586,-0.78529816,2.2481554,4.365588,0.1846585,-0.61752676
1789741298622,-9.526528,-0.61291564,2.3463178,4.365588,0.18106126,-0.57555896
1789741299856,-9.524135,-0.82360536,2.566584,4.365588,0.169736616,-0.5465145
1789741302106,-9.600749,-0.6440403,2.480393,4.365588,0.15041808,-0.58208732
1789741303539,-9.485827,-0.59855044,2.540248,4.365588,0.16427411,-0.6144625
1789741304276,-9.442732,-0.6871359,2.492364,4.365588,0.18066156,-0.5846186
1789741308875,-9.581595,-0.7493851,2.4875756,4.365588,0.187856052,-0.5778239
1789741308933,-9.533711,-0.6823475,2.2457612,4.365588,0.176531384,-0.62658656
1789741309341,-9.531317,-0.79966332,2.3008278,4.365588,0.20291118,-0.60460336
1789741309889,-9.52174,-0.6943185,2.4133554,4.365588,0.16533998,-0.60500308
1789741310710,-9.526528,-0.6631939,2.4947582,4.365588,0.15521438,-0.5906141
1789741311832,-9.49301,-0.6751649,2.3558946,4.365588,0.200113316,-0.5700965
1789741312771,-9.533711,-0.82360536,2.621651,4.365588,0.16560642,-0.5906141
1789741315007,-9.500193,-0.63206924,2.4779988,4.365588,0.176797852,-0.61512864
1789741315940,-9.548077,-0.6607997,2.4971524,4.365588,0.15468148,-0.5924793
1789741317478,-9.497798,-0.7302315,2.4899698,4.365588,0.18918836,-0.55624044
1789741318698,-9.41879,-0.7182605,2.3415294,4.365588,0.16187595,-0.5736937
1789741320949,-9.528923,-0.6895301,2.4516626,4.365588,0.15428178,-0.6099326
1789741322791,-9.526528,-0.6799533,2.4899698,4.365588,0.15228331,-0.59221284
1789741323815,-9.531317,-0.797269168,2.4468742,4.365588,0.16933692,-0.5936784
1789741324845,-9.634268,-0.7278373,2.542642,4.365588,0.15987748,-0.5687642
1789741326886,-9.40203,-0.93852708,2.4612394,4.365588,0.16360796,-0.5618361
1789741328127,-9.672575,-0.6488287,2.4181438,4.365588,0.193052068,-0.562902
1789741329347,-9.516952,-0.7637503,2.207454,4.365588,0.1885222,-0.625121
1789741334580,-9.569624,-0.6344634,2.4157496,4.365588,0.150951,-0.60473656
1789741337438,-9.502586,-0.6368576,2.4636336,4.365588,0.1556141,-0.60047316
1789741340571,-9.504981,-0.7015011,2.4756046,4.365588,0.15881163,-0.59794176
1789741342438,-9.528923,-0.6464345,2.4756046,4.365588,0.15334916,-0.5995406
1789741352080,-9.524135,-0.81881692,2.432509,4.365588,0.1668055,-0.6144625
1789741352982,-9.519346,-0.7038953,2.4947582,4.365588,0.174666136,-0.62152376
1789741353732,-9.509769,-0.7350199,2.2744916,4.365588,0.17293414,-0.6277856
1789741355161,-9.605537,-0.7541735,2.3056162,4.365588,0.18652374,-0.56530016
1789741357608,-9.524135,-0.6847417,2.4181438,4.365588,0.15747932,-0.59714248
1789741358443,-9.533711,-0.7685388,2.516306,4.365588,0.16787136,-0.59394484
1789741359452,-9.507375,-0.6368576,2.4971524,4.365588,0.16320826,-0.614196
1789741360901,-9.531317,-0.7254431,2.4660278,4.365588,0.17573202,-0.5936784
1789741361612,-9.502586,-0.62967504,2.4181438,4.365588,0.1573461,-0.59527716
1789741362734,-9.502586,-0.6799533,2.4229322,4.365588,0.16107658,-0.6060689
1789741363759,-9.615114,-0.6799533,2.4253264,4.365588,0.1803951,-0.57809036
1789741364979,-9.504981,-0.79966332,2.5450364,4.365588,0.18012864,-0.5522435
1789741366210,-9.380483,-0.6919243,2.3295584,4.365588,0.18679022,-0.58142116
1789741367438,-9.524135,-0.7038953,2.4253264,4.365588,0.172534452,-0.5846186
1789741369081,-9.579201,-0.7302315,2.396596,4.365588,0.18865544,-0.5675651
1789741370730,-9.481039,-0.6679823,2.4660278,4.365588,0.16187595,-0.5967427
1789741371951,-9.540894,-0.6655881,2.3798366,4.365588,0.189454816,-0.5954104
1789741373190,-9.44752,-0.8403648,2.5258828,4.365588,0.16693874,-0.53958652
1789741374402,-9.576807,-0.7086837,2.3918076,4.365588,0.14948544,-0.63404744
1789741375850,-9.44752,-0.641646,2.372654,4.365588,0.16640582,-0.591147
1789741377283,-9.557653,-0.6919243,2.3870192,4.365588,0.17586524,-0.5891486
1789741378706,-9.469068,-0.7015011,2.4492684,4.365588,0.17120214,-0.5910138
1789741379726,-9.548077,-0.7685388,2.5234886,4.365588,0.13483002,-0.5812879
1789741380954,-9.526528,-0.6607997,2.3582888,4.365588,0.16707198,-0.6000735
1789741381783,-9.536105,-0.6392518,2.2888568,4.365588,0.2069081,-0.57515924
1789741382595,-9.617508,-0.6847417,2.4253264,4.365588,0.1803951,-0.5752925
1789741384250,-9.531317,-0.59615624,2.5570072,4.365588,0.16227564,-0.6155283
1789741385460,-9.545682,-0.6799533,2.5234886,4.365588,0.17733078,-0.5900812
1789741386485,-9.562442,-0.641646,2.44448,4.365588,0.16560642,-0.6145957
1789741387530,-9.502586,-0.7589619,2.4516626,4.365588,0.17733078,-0.56836444
1789741388545,-9.502586,-0.7302315,2.5139118,4.365588,0.18359264,-0.5850184
1789741389556,-9.469068,-0.6607997,2.3295584,4.365588,0.17173508,-0.58408576
1789741390598,-9.512163,-0.641646,2.4301148,4.365588,0.185990816,-0.589415
1789741391211,-9.485827,-0.6823475,2.4612394,4.365588,0.178929552,-0.587683
1789741392539,-9.603143,-0.5410896,2.468422,4.365588,0.14282389,-0.59860796
1789741394179,-9.56723,-0.6368576,2.4756046,4.365588,0.14895253,-0.5891486
1789741395392,-9.502586,-0.7493851,2.4947582,4.365588,0.16960336,-0.58328632
1789741396421,-9.440337,-0.7541735,2.3654714,4.365588,0.16587288,-0.6185927
1789741397459,-9.488221,-0.7110779,2.4756046,4.365588,0.178663084,-0.58168756
