timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1789740469451,-9.593566,-0.354341868,1.4173674,3.5240996,0.079405816,-0.24154824
1789740470661,-9.555259,-0.19393034,1.2545617,3.5211684,0.06954671,-0.24541194
1789740472496,-9.615114,-0.16759412,1.3120226,3.532493,0.065283308,-0.23741806
1789740473007,-9.615114,-0.25139116,1.3958196,3.55527536,0.09179632,-0.25060796
1789740474355,-9.617508,-0.2705448,1.3670892,3.5299616,0.067148548,-0.22969066
1789740475979,-9.634268,-0.30645782,1.3335704,3.568732,0.06594946,-0.21423582
1789740477721,-9.576807,-0.25139116,1.3623008,3.53236,0.08233691,-0.2511409
1789740479565,-9.651027,-0.25617956,1.3503298,3.54062,0.07487596,-0.2243614
1789740481203,-9.636662,-0.220266544,1.340753,3.5408868,0.06888055,-0.2243614
1789740483044,-9.548077,-0.22266076,1.352724,3.52569832,0.067148548,-0.23821746
1789740484275,-9.540894,-0.25139116,1.3551182,3.5287628,0.07221133,-0.25726952
1789740488337,-9.471462,-0.184353532,1.271321,3.521968,0.077673816,-0.23848392
1789740492840,-9.579201,-0.31124622,1.3072342,3.578058,0.09592649,-0.22835834
1789740494374,-9.7084872,-0.184353532,1.400608,3.5562082,0.07287749,-0.20677488
1789740496368,-9.564836,-0.17238252,1.2401965,3.553144,0.06967994,-0.23821746
1789740497602,-9.583989,-0.34476504,1.3192052,3.5159724,0.0754088768,-0.24701072
1789740500883,-9.548077,-0.33758244,1.2880806,3.526231,0.08353599,-0.22609342
1789740501464,-9.65821,-0.23702596,1.4508862,3.5800564,0.084735064,-0.22715926
1789740505072,-9.61272,-0.32800564,1.283292,3.51330784,0.07714089,-0.2542052
1789740506914,-9.586384,-0.30166942,1.376666,3.526231,0.08140428,-0.23608574
1789740508338,-9.586384,-0.33518824,1.30484,3.57845784,0.09006432,-0.2162343
1789740509568,-9.593566,-0.354341868,1.2114661,3.525165,0.07287749,-0.26326492
1789740511000,-9.607931,-0.30885202,1.4053964,3.5280964,0.08300307,-0.239683
