timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1789721055416,-9.624691,-0.33518824,0.825999536,3.537556,0.188788652,0.037304748
1789721055788,-9.6845452,-0.25378536,0.93852708,3.5578072,0.190254216,0.0528928
1789721056116,-9.677363,-0.375889668,0.7230489,3.5292956,0.19038744,0.07061256
1789721056445,-9.574412,-0.521936,0.48123456,3.5534104,0.181727408,0.0369050536
1789721056812,-9.655815,-0.8451532,0.7517793,3.5735284,0.19211944,0.06022052
1789721057148,-9.636662,-0.6751649,0.9768343,3.5781916,0.19891424,0.061686064
1789721057519,-9.706094,-0.29688102,0.9911995,3.547948,0.19038744,0.06475038
1789721057849,-9.617508,-0.32561144,0.7374141,3.5428852,0.1885222,0.03743798
1789721058185,-9.607931,-0.50517652,0.45010992,3.5487472,0.200113316,0.07607503
1789721058554,-9.581595,-0.80445176,0.7038953,3.5551424,0.19198622,0.040235836
1789721058886,-9.555259,-0.60812724,1.0031705,3.572329,0.20104594,0.07594181
1789721059260,-9.574412,-0.4165911,0.91219084,3.5348912,0.18132772,0.0547580432
1789721059589,-9.662998,-0.22505496,0.7015011,3.552078,0.189987736,0.059687596
1789721059927,-9.703699,-0.50517652,0.60094464,3.5320932,0.20677488,0.052626336
1789721060296,-9.6845452,-0.7158663,0.806845936,3.58498632,0.19291884,0.0678147
1789721060625,-9.583989,-0.6536171,0.9768343,3.5542096,0.19811484,0.059687596
1789721061001,-9.56723,-0.46926352,0.9552865,3.53236,0.18159418,0.030509954
1789721061330,-9.624691,-0.20111294,0.7086837,3.531827,0.182926492,0.07794027
1789721061661,-9.545682,-0.49559976,0.5363012,3.5300948,0.2017121,0.029843798
1789721062024,-9.674969,-0.6464345,0.6560113,3.577925,0.19345174,0.05435835
1789721062360,-9.677363,-0.7589619,0.89782568,3.55287736,0.18772282,0.041568144
1789721062691,-9.715671,-0.4357447,0.91697928,3.5761928,0.19891424,0.06368453
1789721063057,-9.564836,-0.361524436,0.7086837,3.5270308,0.19145328,0.06315161
1789721063392,-9.603143,-0.356736068,0.51714752,3.556075,0.195317,0.073543648
1789721063763,-9.581595,-0.816422768,0.533907,3.5592728,0.1778637,0.0466309336
1789721064101,-9.639056,-0.7134721,0.91219084,3.6011072,0.2051761,0.062218988
1789721064429,-9.634268,-0.371101236,0.9672575,3.55234468,0.197049,0.05595712
1789721064799,-9.591172,-0.41180268,0.81402856,3.5303614,0.17799694,0.061686064
1789721065127,-9.634268,-0.4213795,0.46208092,3.5466156,0.2017121,0.07500919
1789721065500,-9.536105,-0.7685388,0.60333884,3.5555422,0.17493262,0.020650842
1789721065826,-9.514558,-0.641646,0.92655608,3.563003,0.2055758,0.06062021
1789721066156,-9.581595,-0.51235916,0.9888053,3.5366232,0.1889219,0.030776416
1789721066529,-9.679757,-0.2681506,0.825999536,3.5555422,0.187856052,0.052626336
1789721066857,-9.548077,-0.4381389,0.5530606,3.53382536,0.20890658,0.05049464
1789721067187,-9.653421,-0.62009824,0.61291564,3.5857856,0.19584992,0.06435069
1789721067688,-9.564836,-0.7613561,0.91458504,3.56286968,0.200379792,0.06861409
1789721068064,-9.569624,-0.46926352,0.9648633,3.53502468,0.183459432,0.043833076
1789721068392,-9.610326,-0.33279404,0.7182605,3.5310276,0.18519142,0.07061256
1789721068720,-9.61272,-0.50517652,0.48841716,3.5366232,0.193585,0.01718683
