timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1789720630933,0.47644616,-9.931149,1.13964,-0.114578868,3.6372128,-0.0029310872
1789720631317,0.7086837,-9.816227,0.9624691,-0.1121807,3.6166952,0.0006661562
1789720631644,0.363918668,-9.952697,0.878672,-0.09046401,3.622824,0.016520674
1789720631976,0.4309563,-9.923966,0.58657944,-0.13069984,3.6029724,0.015854517
1789720632343,0.5602432,-9.844957,0.6847417,-0.12403829,3.6458728,-0.0018652374
1789720632671,0.9840169,-9.830592,0.7757214,-0.100323128,3.6426754,0.01851914
1789720633002,0.6823475,-10.01734,0.9528923,-0.12124042,3.6518684,0.0017320062
1789720633371,0.44532152,-9.840169,1.151611,-0.09605972,3.605637,0.0046630936
1789720633718,0.23702596,-9.921572,0.7661445,-0.0991240464,3.64280868,0.0053292492
1789720634088,0.5530606,-10.041282,0.5770026,-0.10645176,3.6717196,0.010924961
1789720634422,0.82360536,-9.878476,0.7757214,-0.10098928,3.6438744,-0.011324655
1789720634751,0.62009824,-9.991004,1.0175357,-0.11671056,3.64254216,0.014788668
1789720635118,0.533907,-9.907207,0.830788,-0.09206279,3.6188268,-0.005595712
1789720635451,0.33039984,-10.022128,0.49320556,-0.09139664,3.62455584,0.018385912
1789720635827,0.62967504,-9.919178,0.45010992,-0.10845023,3.6242896,-0.028511486
1789720636157,0.7374141,-9.97185,0.7158663,-0.117776416,3.6528008,0.020650842
1789720636490,0.7493851,-9.947908,0.9696517,-0.11337979,3.6202924,-0.0041301684
1789720636851,0.47644616,-9.876082,0.9983821,-0.1168438,3.599375,-0.008393568
1789720637188,0.4405331,-9.873688,0.7110779,-0.12736906,3.5960444,0.022915774
1789720637580,0.6512229,-9.904813,0.5722142,-0.122839208,3.61483,-0.033174578
1789720637908,0.7374141,-9.933543,0.7110779,-0.116577336,3.6621272,0.02784533
1789720638280,0.78050976,-9.919178,0.91697928,-0.1189755,3.6152296,0.007860643
1789720638617,0.4165911,-10.007763,0.94331544,-0.10325421,3.63668,0.003330781
1789720638950,0.32561144,-9.883265,0.7541735,-0.1061853,3.60137336,0.020650842
1789720639323,0.5410896,-10.055647,0.6943185,-0.123771824,3.67518368,-0.005995406
