timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1789740919410,-9.519346,-0.5267244,1.4867992,4.365588,0.12723583,-0.2724579
1789740921033,-9.583989,-0.39504328,1.4269442,4.365588,0.12323889,-0.28578104
1789740924152,-9.557653,-0.373495468,1.4460978,4.365588,0.11711026,-0.2891118
1789740926072,-9.600749,-0.4381389,1.553837,4.365588,0.1381608,-0.2733905
1789740928924,-9.627085,-0.47405192,1.5179238,4.365588,0.10285452,-0.30096936
1789740938383,-9.600749,-0.3854665,1.5586254,4.365588,0.11884227,-0.29204288
1789740942025,-9.627085,-0.34237084,1.3215994,4.365588,0.1160444,-0.29404134
1789740942036,-9.615114,-0.361524436,1.4748282,4.365588,0.105252668,-0.30336752
1789740944110,-9.56723,-0.4429273,1.5682021,4.365588,0.114445632,-0.28538132
1789740944726,-9.576807,-0.41180268,1.5107412,4.365588,0.11937519,-0.29057736
1789740946054,-9.610326,-0.4189853,1.5370776,4.365588,0.12403829,-0.2923093
1789740947082,-9.636662,-0.45250412,1.4748282,4.365588,0.11631087,-0.32228636
1789740948513,-9.56723,-0.533907,1.553837,4.365588,0.12403829,-0.2699265
1789740949638,-9.595961,-0.60094464,1.541866,4.365588,0.07261103,-0.31935528
1789740950672,-9.569624,-0.41180268,1.5682021,4.365588,0.11178101,-0.28764626
1789740952097,-9.586384,-0.45010992,1.5442602,4.365588,0.095127108,-0.3028346
1789740953328,-9.619903,-0.39743748,1.5251064,4.365588,0.10125574,-0.30230168
1789740953948,-9.560047,-0.4189853,1.5682021,4.365588,0.11631087,-0.29204288
1789740954967,-9.615114,-0.39504328,1.5155296,4.365588,0.12417152,-0.30816384
1789740955572,-9.627085,-0.33279404,1.4748282,4.365588,0.1079173,-0.28458192
1789740956602,-9.605537,-0.4189853,1.5227122,4.365588,0.1189755,-0.29284228
1789740957284,-9.627085,-0.49799396,1.4221558,4.365588,0.11910873,-0.30896324
1789740957841,-9.55047,-0.3854665,1.5107412,4.365588,0.13163246,-0.2925758
1789740959266,-9.691729,-0.5722142,1.5155296,4.365588,0.09685911,-0.3007029
1789740959888,-9.61272,-0.4333505,1.4149732,4.365588,0.10685146,-0.301902
